,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,10.466975,-1.9749486,-2.0545487,0.25251713,0.21909374,-1.7445408,-1.0705838,1.0170742,0.12409335,0.39833164,-0.14867835,-4.1075344,2.8174603,-1.5741705,-2.212686,4.920742,-0.7273742,-1.4446404,-1.4624282,-1.8117486,-0.049333077
1,9.897511,-1.9210095,-2.1889539,0.34781033,0.16089307,-1.8354646,-0.94063807,1.047388,0.10228772,0.34647286,-0.02509597,-4.0103917,2.8727005,-1.3373675,-2.2572684,5.062599,-0.760707,-1.3763727,-1.3898202,-1.7498637,-0.1716897
2,10.658698,-1.9889106,-2.1671712,0.29121852,0.020884458,-1.7776016,-1.0290902,1.0651999,0.058387935,0.39806238,-0.14578938,-4.1827335,2.8465216,-1.5657665,-2.1797838,5.0859623,-0.7534763,-1.4442791,-1.3980355,-1.9042886,-0.015880566
3,9.04074,-1.8564401,-2.233573,0.010359582,0.27382317,-2.1256874,-0.8497662,1.4559845,0.2788044,0.4001735,0.09506743,-3.7231557,2.9389427,-1.320444,-2.110448,4.738415,-0.99954027,-1.1799302,-1.1344097,-1.5295603,-0.37302822
4,8.137399,-1.6846654,-2.3000922,0.13172318,0.43982273,-2.214673,-0.71951026,1.4749506,0.25579712,0.26081645,0.21447982,-3.6054337,2.9427295,-1.1263242,-2.0836577,4.6648407,-1.0259542,-1.168163,-1.0350927,-1.3183643,-0.48733413
5,13.57483,-1.7765751,-1.7427628,0.17176376,1.01381,-1.8324414,-1.5186422,0.9232234,-0.28281805,0.49424726,-1.0065479,-3.9077466,1.8509194,-2.5158882,-2.558857,3.3366206,0.1421834,-1.3126414,-1.4716167,-2.363711,0.23056008
6,10.786445,-1.9105654,-1.9541924,-0.03425973,0.4520271,-1.9141765,-1.1577382,1.1487473,0.16780111,0.5235863,-0.2580602,-4.0630956,2.6744168,-1.7946613,-2.193441,4.52808,-0.8363238,-1.4641076,-1.3220154,-1.7868692,0.059297193
7,14.064477,-1.6853757,-1.6228759,0.13899247,1.9486684,-1.7135828,-2.2186081,0.0862446,0.013266241,0.066128425,-0.9136919,-2.8927348,0.79136413,-2.1450408,-3.2397473,1.9678022,0.6879732,-0.07646879,-2.0313327,-2.7885473,0.32606333
8,12.052766,-2.0274096,-1.8954849,0.4143253,-0.046373997,-1.501582,-1.39536,0.60811144,-0.16977246,0.48184964,-0.49551705,-4.3402596,2.6362214,-1.9025292,-2.173727,4.745926,-0.20562717,-1.4312927,-1.6679963,-2.1367552,0.18094072
9,12.288678,-1.752952,-1.6248336,-0.22115983,0.64267087,-1.8912874,-1.3220718,0.8695531,-0.4497874,0.5798027,-0.48538455,-3.8735065,2.3910506,-2.1454308,-2.196397,3.8648434,-0.2743251,-1.451472,-1.6495557,-1.8360283,0.11260182
